sound,morpheme,m-gloss,category
wrgaz,[u-rgaz],[SMCS-man],N
tmʁart,[t-mʁar-t],[FSCS-woman],N
!rbbi,[!rbbi],[God],N
tazzanin,[t-azzan-in],[PMFS-children],N
u!llah,[u-!llah],[by God],N
wanna,[wanna],[the one who],N
aʁaras,[a-ʁaras],[MFSS-path],N
lkif,[l-kif],[canabis],N
ʃʃrab,[ʃʃrab],[wine],N
ħasan,[ħasan],[Hassan],N
ʕabdarraħim,[ʕabdarraħim],[Abdarrahim],N
tmzgida,[t-mzgid-a],[FSCS-mosque],N
sskwila,[sskwila],[school],N
!sbaħ,[!sbaħ],[morning],N
!nss,[!nss],[half],N
!nnhar,[!nnhar],[day],N
ʕʃrin,[ʕʃrin],[twenty],N
rjal,[rjal],[rial],N
ʕabdrraħim,[ʕabdrraħim],[Abdrrahim],N
ʕʃra,[ʕʃra],[ten],N
lħal,[l-ħal],[the time],N
lqhwa,[l-qhwa],[the coffee],N
l!utar,[l-!utar],[the-lute],N
lbbwant,[l-bbwant],[butts],N
ʃʃqf,[ʃʃqf],[pipe],N
lgnbri,[l-gnbri],[the-lute],N
lħalt,[l-ħal-t],[the state],N
ltnaʕʃ,[l-tnaʕʃ],[twelve o'clock],N
imkli,[imkli],[lunch],N
tgmmi,[t-gmmi],[FSCS-house],N
lqhwalli,[l-qhwa-lli],[the coffee-RelPro] ,N
nnqt,[nnqt],[notes],N
lʕaʒajb,[l-ʕaʒajb],[oddities],N
ugaju,[u-gaju],[SMCS-head],N
nkki,[nkki],[1S:me],N
ibbwa,[i-bbwa],[dat-father],N
ħasanlli,[ħasan-lli],[ħasan-RelPro] ,N
l!istiʕmar,[l-!istiʕmar],[colonialism],N
ddl,[ddl],[submission],N
bbwa,[bbwa],[father],N
jwi,[iwi],[son],N
wazzan,[u-azzan],[SMCS-child],N
bbwattsn,[bbwat-sn],[Father-PossDet:3MP],N
!darat,[!darat],[backward],N
gwma,[gwma],[brother],N
l!tnaʕʃ,[l-!tnaʕʃ],[twelve o'clock],N
lχir,[l-χir],[lot of good],N
lmʕllm,[l-mʕllm],[master],N
a knife,[a knife],[a knife],N
!zzizwar,[!zzizwar],[shaver],N
lqqmr,[l-qqmr],[gambling],N
!wllah,[!w-llah],[SMCS-God],N
babas,[baba-s],[father-poss:3S],N
aʁrum,[a-ʁrum],[MFSS-bread],N
ufrran,[u-frran],[SMCS-furnace],N
ijnnas,[i-j-nna-s],[3MS-mother:poss:3S],N
lbit,[l-bit],[the room-bit],N
jnna,[i-nna],[poss-mother:1S],N
walu,[walu],[nothing],N
wʁrom,[u-ʁrom],[SMCS-bread],N
wataj,[u-ataj],[SMCS-tea],N
aʁromlli,[a-ʁrom-lli],[MFSS-bread-RelPro] ,N
ataj,[ataj],[tea],N
tal!bzdamt,[ta-l-!bzdam-t],[tobacco pocket],N
tbaʁa,[tbaʁa],[obacco],N
l!modʕ,[l-!modʕ],[the place],N
lgajla,[l-gajla],[l-gajla],N
ttargant,[tt-argan-t],[FFSS-argan tree],N
ʃʃqufa,[ʃʃqufa],[P:pipe],N
a!llah,[a-!llah],[O-Allah],N
lʒnt,[l-ʒnt],[the paradise],N
jji,[iji],[1S:me],N
rrʃuq,[rrʃuq],[enjoyment],N
!w!fqqir,[!w-!fqqir],[SMCS-old man],N
ssalamuʕalajkum,[ssalamuʕalajkum],[peace on you],N
jafruχ,[i-a-fruχ],[MFSS-boy],N
luqqt,[l-uqqt],[the time],N
