Order,Titre_Texte,SOUND,MORPHEMES,M-GLOSS,CATEGORY
1.0,lxdmt,muħmmad,[muħmmad],[Mohmmad],N
2.0,lxdmt,sqqsaʁnn,[sqqsa-ʁ-nn],[ask:pf-1S-deic],V
3.0,lxdmt,gik,[gi-k],[in-2MS],
4.0,lxdmt,nnan,[nna-n],[say:pf-3PM],V
5.0,lxdmt,i,[i],[to],
6.0,lxdmt,jji,[iji],[dat:1S],
7.0,lxdmt,tllitnn,[t-lli-t-nn],[2S-be:pf-MS-deic],V
8.0,lxdmt,ʁ,[ʁ],[at],
9.0,lxdmt,tmʁra,[t-mʁr-a],[FSCS-the feast],N
10.0,lxdmt,New_Sentence,New_Sentence,New_Sentence,
11.0,lxdmt,ja,[ja],[yes],
12.0,lxdmt,jak,[jak],[is],
13.0,lxdmt,labas,[labas],[Nothing wrong],N
14.0,lxdmt,New_Sentence,New_Sentence,New_Sentence,
15.0,lxdmt,riʁ,[ri-ʁ],[want:ao-1S],V
16.0,lxdmt,aʁar,[aʁar],[just],
17.0,lxdmt,a,[a],[Voc],
18.0,lxdmt,gwma,[gwma],[brother],N
19.0,lxdmt,riʁ,[ri-ʁ],[want:ao-1S],V
20.0,lxdmt,!ddarl!bida,[!ddarl!bida],[Casablanca],N
22.0,lxdmt,ulla,[ulla],[or],
23.0,lxdmt,mrrakwʃ,[mrrakwʃ],[Marrakech],N
24.0,lxdmt,New_Sentence,New_Sentence,New_Sentence,
25.0,lxdmt,trit,[t-ri-t],[2S-want:ao-2S],V
26.0,lxdmt,!ddarl!bida,[!ddarl!bida],[Casablanca],N
28.0,lxdmt,nʁdd,[nʁdd],[or],
29.0,lxdmt,mrrakwʃ,[mrrakwʃ],[Marrakech],N
30.0,lxdmt,New_Sentence,New_Sentence,New_Sentence,
31.0,lxdmt,ijh,[ijh],[yes],
32.0,lxdmt,maχχ,[maχχ],[why],
33.0,lxdmt,s,[s],[with],
34.0,lxdmt,mit,[mit],[what],
35.0,lxdmt,a,[a],[Voc],
36.0,lxdmt,gwma,[gwma],[brother],N
37.0,lxdmt,tamazirt,[ta-mazir-t],[MFSS-country],N
38.0,lxdmt,ur,[ur],[neg],
39.0,lxdmt,i,[i],[to],
40.0,lxdmt,jji,[iji],[dat:1S],
41.0,lxdmt,sul,[sul],[not yet],
42.0,lxdmt,!ttil,[!ttil],[3S:enjoy:Imper],V
43.0,lxdmt,ss,[ss],[with],
44.0,lxdmt,jat,[jat],[nothing],N
45.0,lxdmt,ur,[ur],[neg],
46.0,lxdmt,tlli,[t-lli],[3FS-be:pf],V
47.0,lxdmt,lχdmt,[l-χdm-t],[job],N
48.0,lxdmt,ar,[ar],[AR],
49.0,lxdmt,bdda,[bdda],[always],
50.0,lxdmt,!ttziʁ,[!ttzi-ʁ],[fight:pf-1S],V
51.0,lxdmt,d,[d],[with],
52.0,lxdmt,u!fqqir,[u-!fqqir],[SMCS-old man],N
53.0,lxdmt,ula,[ula],[or],
54.0,lxdmt,ta!fqqirt,[ta-!fqqir-t],[FFSS-old woman],N
55.0,lxdmt,ula,[ula],[or],
56.0,lxdmt,amʁar,[a-mʁar],[old man],N
57.0,lxdmt,χasmaʁ,[χasma-ʁ],[tell off:pf-1S],V
58.0,lxdmt,d,[d],[and],
59.0,lxdmt,kullu,[kullu],[all],
60.0,lxdmt,ma,[ma],[what],
61.0,lxdmt,jllan,[i-lla-n],[3MS-be-n:partic],V
62.0,lxdmt,tssnt,[t-ssn-t],[2S-know:ao-2S],V
63.0,lxdmt,ma,[ma],[what],
64.0,lxdmt,jllan,[i-lla-n],[3MS-be:pf-n:partic],V
65.0,lxdmt,a,[a],[Voc],
66.0,lxdmt,muħmmad,[muħmmad],[Mohmmad],N
67.0,lxdmt,lmdint,[l-mdin-t],[the city],N
68.0,lxdmt,ur,[ur],[neg],
69.0,lxdmt,illi,[i-lli],[3MS-be:pf],V
70.0,lxdmt,ma,[ma],[what],
71.0,lxdmt,stt,[stt],[Obj:3FS],
72.0,lxdmt,jufn,[i-uf-n],[3MS-be better:pf-partic],V
73.0,lxdmt,New_Sentence,New_Sentence,New_Sentence,
74.0,lxdmt,hija,[hija],[therefore],
75.0,lxdmt,lmdint,[l-mdin-t],[the city],N
76.0,lxdmt,at,[at],[AD:Comp],
77.0,lxdmt,trit,[t-ri-t],[2S-want:ao-2S],V
78.0,lxdmt,!ddarl!bida,[!ddarl!bida],[Casablanca],N
80.0,lxdmt,nʁd,[nʁd],[or],
81.0,lxdmt,mrrakwʃ,[mrrakwʃ],[Marrakech],N
82.0,lxdmt,New_Sentence,New_Sentence,New_Sentence,
83.0,lxdmt,!ddarl!bida,[!ddarl!bida],[Casablanca],N
85.0,lxdmt,nʁd,[nʁd],[or],
86.0,lxdmt,mrrakwʃ,[mrrakwʃ],[Marrakech],N
87.0,lxdmt,jan,[ja-n],[one:M],
88.0,lxdmt,gisn,[gi-s-n],[loc:3PM],
89.0,lxdmt,wanna,[wanna],[the one who],N
90.0,lxdmt,t,[d],[AD:Comp],
91.0,lxdmt,tiwi,[t-iwi],[3FS-bring:pf],V
92.0,lxdmt,luqt,[l-uqt],[the time],N
93.0,lxdmt,New_Sentence,New_Sentence,New_Sentence,
94.0,lxdmt,awa,[awa],[so],
95.0,lxdmt,!zr,[!zr],[2S:see:Imper],V
96.0,lxdmt,mani,[mani],[where],
97.0,lxdmt,trit,[t-ri-t],[2S-want:ao-2S],V
98.0,lxdmt,New_Sentence,New_Sentence,New_Sentence,
99.0,lxdmt,aʃku,[aʃku],[because],
100.0,lxdmt,a,[a],[Voc],
101.0,lxdmt,muħmmad,[muħmmad],[Mohmmad],N
102.0,lxdmt,lmdint,[l-mdin-t],[the city],N
103.0,lxdmt,gis,[gi-s],[loc:3MS],
104.0,lxdmt,lχdmt,[l-χdm-t],[job],N
105.0,lxdmt,argaz,[a-rgaz],[MFSS-man],N
106.0,lxdmt,iʁ,[iʁ],[if],
107.0,lxdmt,a,[ad],[AD:Comp],
108.0,lxdmt,wr,[wr],[neg],
109.0,lxdmt,a,[ad],[AD:Comp],
110.0,lxdmt,jttχdam,[i-tt-χdam],[3MS-work:Impf],V
111.0,lxdmt,ar,[ar],[AR],
112.0,lxdmt,ittgga,[i-tt-gga],[3MS-do:Impf],V
113.0,lxdmt,a!ʃffar,[a-!ʃffar],[MFSS-a thief],N
114.0,lxdmt,New_Sentence,New_Sentence,New_Sentence,
115.0,lxdmt,jih,[jih],[Yes],
116.0,lxdmt,umma,[umma],[then],
117.0,lxdmt,argaz,[a-rgaz],[MFSS-man],N
118.0,lxdmt,iʁ,[iʁ],[if],
119.0,lxdmt,iχdm,[i-χdm],[3MS-work:Impf],V
120.0,lxdmt,ar,[ar],[AR],
121.0,lxdmt,ittili,[i-tt-ili],[3MS-3MS-be:ao],V
122.0,lxdmt,ism,[ism],[name],N
123.0,lxdmt,ar,[ar],[AR],
124.0,lxdmt,ittgga,[i-tt-gga],[3MS-do:Impf],V
125.0,lxdmt,ssi,[ssi],[Sir],
126.0,lxdmt,muħmmad,[muħmmad],[Mohmmad],N
127.0,lxdmt,ssi,[ssi],[Sir],
128.0,lxdmt,ʕli,[ʕli],[Ali],N
129.0,lxdmt,ssi,[ssi],[Sir],
130.0,lxdmt,lħsn,[lħsn],[Lahcen],N
131.0,lxdmt,ar,[ar],[AR],
132.0,lxdmt,t,[t],[Obj:3S],
133.0,lxdmt,ttħubbun,[tt-ħubbu-n],[cherish:Impf-3PM],V
134.0,lxdmt,mddn,[mddn],[people],
135.0,lxdmt,New_Sentence,New_Sentence,New_Sentence,
136.0,lxdmt,ʁajann,[ʁaja-nn],[dem],
137.0,lxdmt,ajllan,[a-j-lla-n],[comp-who-be-n:partic],V
138.0,lxdmt,New_Sentence,New_Sentence,New_Sentence,
139.0,lxdmt,ijh,[ijh],[yes],
140.0,lxdmt,a,[a],[Voc],
141.0,lxdmt,gwma,[gwma],[brother],N
142.0,lxdmt,!brra,[!brra],[the countryside],N
143.0,lxdmt,nit,[nit],[really],
144.0,lxdmt,tlla,[t-lla],[3FS-be:pf],V
145.0,lxdmt,gis,[gi-s],[loc:3MS],
146.0,lxdmt,lχdmt,[l-χdm-t],[job],N
147.0,lxdmt,walajnni,[walajnni],[but],
