Order,Titre_Texte,SOUND,MORPHEMES,M-GLOSS,CATEGORY
1.0,littihal,ʁar,[ʁar],[ʁar],
2.0,littihal,χχa,[χχa],[how it is bad],
3.0,littihal,i,[i],[to],
4.0,littihal,luqt,[l-uqt],[the time],N
5.0,littihal,ukan,[ukan],[just],
6.0,littihal,ʁikann,[ʁikann],[as she is],
7.0,littihal,tga,[t-ga],[3FS-be:pf],V
8.0,littihal,!rzmʁ,[!rzm-ʁ],[detach:pf-1S],V
9.0,littihal,jadlli,[jadlli],[anyway],
10.0,littihal,i,[i],[to],
11.0,littihal,tmʁartann,[t-mʁar-t-ann],[FSCS-woman-a-dem],N
12.0,littihal,tssnt,[t-ssn-t],[2MS-know:ao],V
13.0,littihal,ur,[ur],[neg],
14.0,littihal,at,[ad],AD:Comp],
15.0,littihal,tili,[t-ili],[3MS-be:pf],V
16.0,littihal,tarwa,[tarwa],[children],N
17.0,littihal,χasmaʁ,[χasma-ʁ],[vex:ao-1S],V
18.0,littihal,diss,[d-iss],[with-3S],
19.0,littihal,kkʁ,[kk-ʁ],[visit:ao-1S],V
20.0,littihal,kullu,[kullu],[all],N
21.0,littihal,ʁid,[ʁid],[deic],
22.0,littihal,ula,[ula],[or],
23.0,littihal,ʁinn,[ʁi-nn],[deic],
24.0,littihal,hatinn,[hati-nn],[presentative-deic],
25.0,littihal,!rzmʁ,[!rzm-ʁ],[repudiate-1S],V
26.0,littihal,as,[a-s],[dat-3S],V
27.0,littihal,nkki,[nkki],[1S: me],N
28.0,littihal,!sbaħ,[!sbaħ],[morning],N
29.0,littihal,!nʃaʕ,[!nʃaʕ],[if want:ao:3MS],V
30.0,littihal,!lIah,[!lIah],[AlIah],N
31.0,littihal,hati,[hati],[presentative],
32.0,littihal,riʁ,[ri-ʁ],[want:ao-1S],V
33.0,littihal,mulaj,[mulaj],[Moulay],N
34.0,littihal,brahim,[brahim],[Brahim],N
35.0,littihal,warabbama,[warabbama],[maybe],
36.0,littihal,wa,[wa],[and],
37.0,littihal,ʕasa,[ʕasa],[if],
38.0,littihal,i!rzq,[i-!rzq],[3MS-give:pf],V
39.0,littihal,aʁ,[a-ʁ],[dat-1P],
40.0,littihal,!rbbi,[!rbbi],[God],N
41.0,littihal,kra,[kra],[some],
42.0,littihal,nillis,[n-illi-s],[of-daughter-3S],N
43.0,littihal,n,[n],[of],
44.0,littihal,tgmmi,[t-gmmi],[FFSS-house],N
45.0,littihal,!mqqorn,[!mqqor-n],[be large-n:partic],V
46.0,littihal,hati,[hati],[presentative],
47.0,littihal,ur,[ur],[neg],
48.0,littihal,akkw,[akkw],[not even],
49.0,littihal,i!χssi,[i-!χssi],[3MS-miss:pf],V
50.0,littihal,jjat,[jjat],[one:F],N
51.0,littihal,New_Sentence,New_Sentence,New_Sentence,
52.0,littihal,awa,[awa],[so],
53.0,littihal,gwma,[gwma],[brother],N
54.0,littihal,muħmmad,[muħmmad],[Mohmmad],N
55.0,littihal,add,[add],[AD:Comp],
56.0,littihal,isahl,[i-sahl],[3MS-be easy:ao],V
57.0,littihal,!rbbi,[!rbbi],[God],N
58.0,littihal,hati,[hati],[presentative],
59.0,littihal,lawlija,[lawlija],[the Lords],N
60.0,littihal,jan,[jan],[the one who],N
61.0,littihal,tn,[tn],[Obj:3MS],
62.0,littihal,i!ttzorn,[i-!ttzor-n],[3MS-visit:Imp-n:partic],V
63.0,littihal,s,[s],[with],
64.0,littihal,nnijt,[nnijt],[faith],N
65.0,littihal,hati,[hati],[presentative],
66.0,littihal,fulkin,[fulki-n],[be happy-P],V
67.0,littihal,ukan,[ukan],[just],
68.0,littihal,New_Sentence,New_Sentence,New_Sentence,
69.0,littihal,ssalamuʕalajkum,[ssalamuʕalajkum],[peace on you],N
70.0,littihal,New_Sentence,New_Sentence,New_Sentence,
71.0,littihal,ʕlikssalam,[ʕlikssalam],[peace on you],N
72.0,littihal,a,[a],[Voc],
73.0,littihal,χuja,[χuja],[my brother],N
74.0,littihal,New_Sentence,New_Sentence,New_Sentence,
75.0,littihal,mani,[mani],[where],
76.0,littihal,s,[s],[to],
77.0,littihal,tʃwwrt,[t-ʃwwr-t],[2S-go:ao],V
78.0,littihal,a,[a],[Voc],
79.0,littihal,ssijid,[ssijid],[the man],N
80.0,littihal,New_Sentence,New_Sentence,New_Sentence,
81.0,littihal,awddi,[awddi],[Interjection],
82.0,littihal,riʁ,[ri-ʁ],[want:ao-1S],V
83.0,littihal,aʁar,[aʁar],[just],
84.0,littihal,mulaj,[mulaj],[Moulay],N
85.0,littihal,brahim,[brahim],[Brahim],N
86.0,littihal,New_Sentence,New_Sentence,New_Sentence,
87.0,littihal,!llah,[!llah],[God],N
88.0,littihal,t!χssaijji,[t-!χssa-i-jji],[3FS-miss:pf-dat-1S],V
89.0,littihal,kra,[kra],[some],
90.0,littihal,n,[n],[of],
91.0,littihal,tmʁart,[t-mʁar-t],[FSCS-woman],N
92.0,littihal,nnan,[nna-n],[say:pf-3PM],V
93.0,littihal,i,[i],[to],
94.0,littihal,iji,[iji],[dat:1S],
95.0,littihal,mddn,[mddn],[people],
96.0,littihal,hann,[hann],[presentative],
