Order,Titre_Texte,SOUND,MORPHEMES,M-GLOSS,CATEGORY
1.0,aHttab,ja,[jan],[one:M],
2.0,aHttab,w!ħttab,[w-!ħttab],[SMCS-woodcutter],N
3.0,aHttab,mskin,[mskin],[poor],N
4.0,aHttab,ar,[ar],[AR],
5.0,aHttab,ifttu,[i-fttu],[3MS-go away:Impf],V
6.0,aHttab,s,[s],[s],
7.0,aHttab,lʁaba,[l-ʁaba],[a forest],N
8.0,aHttab,jawi,[i-awi],[3MS-bring:Impf],V
9.0,aHttab,lbhimt,[l-bhimt],[the-beast],N
10.0,aHttab,ns,[n-s],[PossDet:3S],
11.0,aHttab,i!ʕmmr,[i-!ʕmmr],[3MS-fill:pf],V
12.0,aHttab,as,[a-s],[dat-3S],
13.0,aHttab,ikʃʃudn,[i-kʃʃud-n],[PMFS-logs],N
14.0,aHttab,jawid,[i-awi-d],[3MS-bring:ao],V
15.0,aHttab,lbhimt,[l-bhimt],[the-beast],N
16.0,aHttab,sssuq,[s-ssuq],[the-market],N
17.0,aHttab,izznz,[i-ss-nz],[3MS-caus-sell:pf],V
18.0,aHttab,ikʃʃudnlli,[i-kʃʃud-n-lli],[PMFS-logs-RelPro] ,N
19.0,aHttab,i!qqdod,[i-!qqdo-d],[3MS-purvey:pf-deic],V
20.0,aHttab,srsn,[sr-sn],[with-3MS],
21.0,aHttab,i,[i],[to],
22.0,aHttab,tarwa,[tarwa],[children],N
23.0,aHttab,ns,[n-s],[PossDet:3S],
24.0,,New_Sentence,New_Sentence,New_Sentence,
25.0,aHttab,ittif,[i-ttif],[3MS-give birth to:pf],V
26.0,aHttab,sin,[sin],[two],
27.0,aHttab,ddrari,[ddrari],[children],N
28.0,aHttab,dajman,[dajman],[always],
29.0,aHttab,ʁikann,[ʁikann],like this,
30.0,aHttab,a,[ad],[AD:Comp],
31.0,aHttab,jgan,[i-ga-n],[3MS-be-n:pf:partic],V
32.0,aHttab,!ssniʕt,[!ssniʕt],[practice],N
33.0,aHttab,ns,[n-s],[PossDet:3S],
34.0,,New_Sentence,New_Sentence,New_Sentence,
35.0,aHttab,sir,[sir],[go:Imper:ao],
36.0,aHttab,a,[a],[to],
37.0,aHttab,wssan,[wssan],[SMCS-day],N
38.0,aHttab,aʃkadd,[aʃka-dd],[come in2PM-deic],V
39.0,aHttab,a,[a],[to],
40.0,aHttab,wssan,[wssan],[SMCS-day],N
41.0,aHttab,ajlliʁ,[ajlliʁ],[until],
42.0,aHttab,ikka,[i-kka],[3MS-go by:pf],V
43.0,aHttab,lħal,[l-ħal],[the time],N
44.0,aHttab,mudda,[mudda],[duration],N
45.0,aHttab,ntta,[ntta],[him],
46.0,aHttab,!ssniʕt,[!ssniʕt],[practice],N
47.0,aHttab,a-nn,[a-nn],[DemDet-Deic:that],N
48.0,aHttab,a,[ad],[AD:Comp],
49.0,aHttab,bdda,[bdda],[always],
50.0,aHttab,igan,[i-ga-n],[3MS-be:pf-partic],V
51.0,aHttab,tins,[t-in-s],[PossPron:F/3MS],
52.0,aHttab,New_Sentence,New_Sentence,New_Sentence,
53.0,aHttab,jawid,[i-awi-d],[3MS-bring:ao],V
54.0,aHttab,!rbbi,[!rbbi],[God],N
55.0,aHttab,ja,[jan],[one:M],
56.0,aHttab,wass,[w-ass],[SMCS-day],N
57.0,aHttab,illa,[i-lla],[3MS-be:pf],V
58.0,aHttab,kra,[kra],[some],
59.0,aHttab,wsmmid,[w-smmid],[SMCS-cold],N
60.0,aHttab,iχwʃnn,[i-χwʃnn],[3MS-go bad:pf],V
61.0,aHttab,ur,[ur],[neg],
62.0,aHttab,tlli,[t-lli],[3FS-be:pf],V
63.0,aHttab,tafukt,[tafukt],[sun],N
64.0,aHttab,tgrs,[t-grs],[3FS-be freezing:pf],V
65.0,aHttab,luqqt,[l-uqqt],[the time],N
66.0,aHttab,tʒlχ,[t-ʒlχ],[3S-taint:pf],V
67.0,aHttab,luqqt,[l-uqqt],[the time],N
68.0,aHttab,bahhra,[bahhra],[a lot],
69.0,,New_Sentence,New_Sentence,New_Sentence,
70.0,aHttab,iddu,[i-ddu],[3MS-go:ao],V
71.0,aHttab,ssijjid,[ssijjid],[the man],N
72.0,aHttab,lli,[lli],[RelPro],
73.0,aHttab,ar,[ar],[AR],
74.0,aHttab,tagant,[tagant],[the forest],N
75.0,aHttab,iggummi,[i-ggummi],[3MS-be unable],V
76.0,aHttab,ann,[ad-nn],[AD:Comp-deic],V
77.0,aHttab,ig,[i-g],[3MS-be:ao],V
78.0,aHttab,ifassn,[i-fass-n],[PMFS-hand],N
79.0,aHttab,ns,[n-s],[PossDet:3S],
80.0,aHttab,s,[s],[with],
81.0,aHttab,ikʃʃudn,[i-kʃʃud-n],[PMFS-logs],N
82.0,aHttab,lli,[lli],[RelPro],
83.0,aHttab,at,[ad],[AD:Comp],
84.0,aHttab,tn,[tn],[Obj:3MP],
85.0,aHttab,izdm,[i-zdm],[3MS-woodshed:pf],V
86.0,aHttab,ula,[ula],[never],
87.0,aHttab,gis,[gi-s],[loc:3MS],
88.0,aHttab,ma,[ma],[what],
89.0,aHttab,jttħrrakn,[i-tt-ħrrak-n],[3MS-tt-move-n:partic],V
90.0,,New_Sentence,New_Sentence,New_Sentence,
91.0,aHttab,ar,[ar],[AR],
92.0,aHttab,ittqqijas,[i-tt-qqijas],[3MS-tt-try:Impf],V
93.0,aHttab,ajlliʁ,[ajlliʁ],[until],
94.0,aHttab,i!rmi,[i-!rmi],[3MS-be tire:pf],V
95.0,aHttab,jurri,[i-urri],[3MS-come back:pf],V
96.0,aHttab,ur,[ur],[neg],
97.0,aHttab,sul,[sul],[not yet],
98.0,aHttab,i!zdar,[i-!zdar],[3MS-go down:ao],V
