Order,Titre_Texte,SOUND,MORPHEMES,M-GLOSS,CATEGORY
1.0,amzzud,inkr,[i-nkr],[3MS-get up:pf],V
2.0,amzzud,jan,[ja-n],[one:M],
3.0,amzzud,ttaʒr,[ttaʒr],[trader],N
4.0,amzzud,i!ttaf,[i-!ttaf],[3MS-have:pf],V
5.0,amzzud,smmus,[smmus],[five:M],
6.0,amzzud,i!frχan,[i-!frχ-an],[MPFS:boy],N
7.0,amzzud,d,[d],[and],
8.0,amzzud,ja,[jat],[one:F],
9.0,amzzud,tfruχt,[t-fruχ-t],[FSCS:girl],N
10.0,amzzud,mu,[mu],[3MSm],
11.0,amzzud,tggut,[t-ggut],[2FS-be numerous:Pf],V
12.0,amzzud,!ddraft,[!ddraft],[kindness],N
13.0,amzzud,imil,[imil],[but],
14.0,amzzud,jiliħasn,[i-iliħ-as-n],[3MS-be missing:ao-dat:3MP],V
15.0,amzzud,t,[tt],[Obj:3FS],
16.0,amzzud,jinijasn,[i-ini-j-a-s-n],[3MS-say:ao-dat:3MP],V
17.0,amzzud,bbwa,[bbwa],[father],N
18.0,amzzud,a,[a],[Voc],
19.0,amzzud,ttsn,[tts-n],[their],
20.0,amzzud,tarwa,[tarwa],[children],N
21.0,amzzud,nu,[n-u],[of-me],
22.0,amzzud,i!χssaχ,[i-!χss-a-χ],[3MS-must:Pf-dat:1P],V
23.0,amzzud,at,[ad],[AD:Comp],
24.0,amzzud,tddum,[t-ddu-m],[2S-go:ao-MP],V
25.0,amzzud,at,[ad],[AD:Comp],
26.0,amzzud,tllim,[t-lli-m],[search:ao-2PS],V
27.0,amzzud,s,[s],[with],
28.0,amzzud,ultma,[ultma],[my sister],N
29.0,amzzud,ddun,[ddu-n],[go:ao-3MP],V
30.0,amzzud,tun,[tun],[of-you],
31.0,amzzud,ssadat,[ssadat],[people],N
32.0,,lli,[lli],[those],
33.0,amzzud,ssudun,[ssudu-n],[ride:ao-3MP],V
34.0,amzzud,lbhajm,[l-bhajm],[animals],N
35.0,amzzud,nsn,[n-sn],[of-them],
36.0,amzzud,awin,[awi-n],[take:ao-3MP],V
37.0,amzzud,lʕwin,[l-ʕwin],[food],N
38.0,amzzud,nsn,[n-sn],[of-them],
39.0,amzzud,ar,[ar],[AR],
40.0,amzzud,ttllin,[ttlli-n],[search:ao-3PS],V
41.0,amzzud,s,[s],[for],
42.0,amzzud,ultma,[ultma],[my sister],N
43.0,amzzud,ttsn,tt-sn],[of them],
44.0,amzzud,New_Sentence,New_Sentence,New_Sentence,
45.0,amzzud,zzigzn,[zzigz-n],[walk:ao-3MP],V
46.0,amzzud,!jallah,[!ja-llah],[O-Allah],N
47.0,amzzud,!jallah,[!ja-llah],[O-Allah],N
48.0,amzzud,ajlliʁ,[ajlliʁ],[until],
49.0,amzzud,lkmn,[lkm-n],[3MP:arrive:pf],V
50.0,amzzud,!ttrf,[!ttrf],[near],
51.0,amzzud,n,[n],[of],
52.0,amzzud,jan,[ja-n],[one:M],
53.0,amzzud,lbħr,[l-bħr],[sea],N
54.0,amzzud,awa,[awa],[so],
55.0,amzzud,ʁwalli,[ʁ-wa-lli],[DemPronMS-Deic:this one],
56.0,amzzud,gisn,[gi-s-n],[loc:3MP],
57.0,amzzud,!mqqorn,[!mqqor-n],[grow:pf-3MS],V
58.0,amzzud,ntta,[ntta],[3MS:he],
59.0,amzzud,ar,[ar],[AR],
60.0,amzzud,isawal,[i-sawal],[3MS-speek:Impf],V
61.0,amzzud,awal,[awal],[speech],N
62.0,amzzud,lbhajm,[l-bhajm],[animals],N
63.0,amzzud,ig,[i-g],[3MS-be:ao],V
64.0,amzzud,anʃawi,[anʃawi],[canabis smoker],N
65.0,amzzud,ittbla,[i-ttbla],[3MS-be affected],V
66.0,amzzud,s,[s],[with],
67.0,amzzud,lkif,[l-kif],[canabis],N
68.0,amzzud,ar,[ar],[AR],
69.0,amzzud,jaqqlaj,[i-a-qqlaj],[3MS-fry:Impf],V
70.0,amzzud,s,[s],[with],
71.0,amzzud,iggi,[iggi],[the side],
72.0,amzzud,n,[n],[of],
73.0,amzzud,ja,[jan],[one:M],
74.0,amzzud,!wʒarif,[!w-ʒarif],[SMCS-rock],N
75.0,amzzud,ar,[ar],[AR],
76.0,amzzud,ilddi,[i-lddi],[3MS-get out:mpf],V
77.0,amzzud,ssbsi,[ssbsi],[pipe],N
78.0,amzzud,ns,[n-s],[PossDet:3S],
79.0,amzzud,d,[d],[and],
80.0,amzzud,lkif,[l-kif],[canabis],N
81.0,amzzud,ar,[ar],[AR],
82.0,amzzud,t,[t],[Obj:3S],
83.0,amzzud,ittqqssas,[i-tt-qqssas],[3MS-chop:impf],V
84.0,amzzud,ar,[ar],[AR],
85.0,amzzud,as,[a-s],[dat:3MS],
86.0,amzzud,nn,[nn],[deic],
87.0,amzzud,!ttar,[!ttar],[pitch into the water:Impf:3MS],V
88.0,amzzud,zzrriʕt,[zzrriʕt],[grain],N
89.0,amzzud,ʁ,[ʁ],[at],
90.0,amzzud,waman,[w-aman],[CS-water],N
91.0,amzzud,art,[ard],[ard],
92.0,amzzud,t,[t],[Obj:3S],
93.0,amzzud,tʃtta,[t-ʃtta],[3FS-eat:Impf],V
94.0,amzzud,jat,[ja-t],[one:F],
95.0,amzzud,ttslmt,[t-t-slm-t],[t-FSCS-fish-F],N
96.0,,New_Sentence,New_Sentence,New_Sentence,
97.0,amzzud,giwrn,[giwr-n],[stay:ao-3MP],V
98.0,amzzud,ʁinn,[ʁi-nn],[deic],
99.0,amzzud,lmudda,[l-mudda],[the duration],N
100.0,amzzud,n,[n],[of],
101.0,amzzud,!krad,[!krad],[three],
102.0,amzzud,ussan,[ussan],[MPFS:day],N
103.0,amzzud,ajlliʁ,[ajlliʁ],[until],
104.0,amzzud,sunfan,[sunf-an],[relax:pf-3MP],V
105.0,amzzud,asslli,[ass-lli],[the day-RelPro] ,N
106.0,amzzud,ʁ,[ʁ],[where],
107.0,amzzud,rad,[rad],[RAD:Fut],
108.0,amzzud,ddun,[ddu-n],[go:ao-3MP],V
109.0,amzzud,turrinn,[t-urri-nn],[3FS-return:pf-deic],V
110.0,amzzud,tslmt,[t-slm-t],[fish:PCS],N
111.0,amzzud,dar,[dar],[to],
112.0,amzzud,islman,[i-slm-an],[fish:MP],N
113.0,amzzud,inin,[ini-n],[say:pf-3MPS],V
114.0,amzzud,as,[a-s],[dat-3S],
115.0,amzzud,maniʁ,[maniʁ],[where],
116.0,amzzud,d,[d],[deic],
117.0,amzzud,tʃʃit,[t-ʃʃi-t],[2S-eat:pf-2S],V
118.0,amzzud,unʃk,[unʃk],[much],
119.0,amzzud,ad,[ad],[AD:Comp],
120.0,amzzud,lli,[lli],[RelPro],
121.0,amzzud,tʃʃit,[t-ʃʃi-t],[2S-eat:pf-2S],V
122.0,amzzud,ur,[ur],[neg],
123.0,amzzud,aʁ,[a-ʁ],[dat1P],
124.0,amzzud,i!saħa,[i-!saħa],[3MS-!saħa],V
125.0,amzzud,i,[i],[to],
126.0,amzzud,jan,[ja-n],[one:M],
127.0,amzzud,ginʁ,[gi-nʁ],[in:2P],
128.0,amzzud,tsawl,[t-sawl],[2MS-speek:pf],V
129.0,amzzud,tslmt,[t-slm-t],[fish:PCS],N
130.0,amzzud,tini,[t-ini],[2FS-say:pf],V
131.0,amzzud,jasn,[i-a-sn],[to-dat-3-MP],
132.0,amzzud,iʁ,[iʁ],[if],
133.0,amzzud,tram,[t-ra-m],[2MP-want:ao],V
134.0,amzzud,a,[ad],[AD:Comp],
135.0,amzzud,jawn,[a-wn],[dat:2MP],
136.0,amzzud,mlʁ,[ml-ʁ],[show:ao-1S],V
137.0,amzzud,ssijjid,[ssijjid],[the man],N
138.0,amzzud,lli,[lli],[RelPro],
139.0,amzzud,jji,[iji],[dat:1S],
140.0,amzzud,jakkam,[i-akka-m],[dat-1FS:me-give to:ao],V
