Order,Titre_Texte,SOUND,MORPHEMES,M-GLOSS,CATEGORY
1.0,talb,idda,[i-dda],[3MS-go:pf],V
2.0,talb,ja,[jan],[one:M],
3.0,talb,!ttalb,[!ttalb],[the master],N
4.0,talb,i!ssħdr,[i-!ss-ħdr],[3MS-caus-teach:pf],V
5.0,talb,ħ,[ħ],[at],
6.0,talb,jat,[jat],[one:F],
7.0,talb,tmazirt,[t-mazir-t],[SMCS-country],N
8.0,talb,ur,[ur],[neg],
9.0,talb,igi,[i-gi],[3MS-be:pf],V
10.0,talb,ti,[ti],[poss:F],
11.0,talb,ns,[n-s],[PossDet:3S],
12.0,talb,awal,[awal],[speech],N
13.0,talb,ns,[n-s],[PossDet:3S],
14.0,talb,ntta,[ntta],[him],N
15.0,talb,inχalaf,[i-nχalaf],[3MS-cross:ao],V
16.0,talb,d,[d],[and],
17.0,talb,win,[win],[poss:n],
18.0,talb,tqbilt,[t-qbil-t],[FSCS:tribe],N
19.0,talb,imikk,[imikk],[a little],
20.0,talb,imdikir,[i-mdikir],[3MS-consult:pf],V
21.0,talb,d,[d],[and],
22.0,talb,lʒmaʕt,[l-ʒmaʕ-t],[the-group-F],N
23.0,talb,jini,[i-ini],[3MS-say:ao],V
24.0,talb,jas,[i-a-s],[to-dat-3S],
25.0,talb,mas,[mas],[what with],
26.0,talb,a,[ad],[AD:comp],
27.0,talb,tssħdarm,[t-ssħdar-m],[2MP-caus-teach:ao],V
28.0,talb,inin,[ini-n],[say:pf-3MP],V
29.0,talb,as,[a-s],[dat-3S],
30.0,talb,a,[a],[Voc],
31.0,talb,sidi,[sidi],[my lord],N
32.0,talb,nkkni,[nkkni],[1S:me],N
33.0,talb,ar,[ar],[AR],
34.0,talb,nssħdar,[n-ss-ħdar],[1P-caus-teach:Impf],V
35.0,talb,s,[s],[with],
36.0,talb,tuwmmat,[tuwmmat],[heifer],N
37.0,talb,i,[i],[by],
38.0,talb,takat,[takat],[household],N
39.0,talb,ini,[i-ini],[3MS:tell:Imper],V
40.0,talb,jasn,[i-a-sn],[to-dat-3MP],
41.0,talb,waχχa,[waχχa],[even if],
42.0,,New_Sentence,New_Sentence,New_Sentence,
43.0,talb,dʕun,[dʕu-n],[invoke:Imper:3S],V
44.0,talb,issħdr,[i-ss-ħdr],[3MS-caus-brought out:pf],V
45.0,talb,!ttalblli,[!ttalb-lli],[the master-RelPro] ,N
46.0,talb,ifrħ,[i-frħ],[3MS-be happy:pf],V
47.0,talb,lʒmaʕt,[l-ʒmaʕ-t],[the-group-F],N
48.0,talb,tga,[t-ga],[3FS-be:pf],V
49.0,talb,mija,[mija],[hundred],N
50.0,talb,n,[n],[of],
51.0,talb,takat,[takat],[household],N
52.0,talb,jini,[i-ini],[3MS-say:ao],V
53.0,talb,d,[d],[and],
54.0,talb,iχf,[iχf],[head],N
55.0,talb,ns,[n-s],[of-3S],
56.0,talb,mija,[mija],[hundred],N
57.0,talb,n,[n],[of],
58.0,talb,tfunast,[t-funas-t],[FSCS-cow],N
59.0,talb,a,[ad],[AD:comp],
60.0,talb,ja,[ja],[dem],
61.0,,New_Sentence,New_Sentence,New_Sentence,
62.0,talb,ur,[ur],[neg],
63.0,talb,ʒʒudd,[ʒʒudd],[generosity],N
64.0,talb,nkki,[nkki],[1S:me],N
65.0,talb,a,[ad],[AD:comp],
66.0,talb,j!drn,[i-!dr-n],[3MS-go to:ao-deic],V
67.0,talb,ħ,[ħ],[ħ],
68.0,talb,zzrda,[zzrda],[Feast],N
69.0,talb,ja,[ja],[dem],
70.0,,New_Sentence,New_Sentence,New_Sentence,
71.0,talb,rad,[rad],[RAD:Fut],
72.0,talb,ʃʃrkħ,[ʃʃrk-ħ],[associate:pf-1S],V
73.0,talb,kra,[kra],[some],
74.0,talb,zznzħ,[ss-nz-ħ],[sell:pf-1S],V
75.0,talb,kra,[kra],[some],
76.0,talb,sʁʁ,[sʁ-ʁ],[buy:ao-1S],V
77.0,talb,akal,[akal],[soil],N
78.0,talb,!amzħ,[!amz-ħ],[take:pf-1S],V
79.0,talb,amʃʃrk,[a-mʃʃrk],[MFSS-associate],N
80.0,talb,s,[s],[with],
81.0,talb,!rroboʕ,[!rroboʕ],[quarter],N
82.0,talb,nħdd,[nħdd],[or],
83.0,talb,lχumus,[l-χumus],[the fifth],N
84.0,talb,fħ,[f-ħ],[give:pf-1S],V
85.0,talb,as,[a-s],[dat-3S],
86.0,talb,amud,[amud],[seed],N
87.0,talb,d,[d],[and],
88.0,talb,imassn,[imassn],[plowshares],N
89.0,talb,t,[t],[and],
90.0,talb,tijuga,[tijuga],[the plough],N
91.0,talb,iħ,[iħ],[if],
92.0,talb,imgr,[i-mgr],[3MS-mow:pf],V
93.0,talb,isrut,[i-srut],[3MS-thresh:pf],V
94.0,talb,!amzħ,[!amz-ħ],[take:pf-1S],V
95.0,talb,lħqq,[l-ħqq],[the truth],N
96.0,talb,inw,[in-w],[PossDet:1S],
97.0,talb,ʕmmrħ,[ʕmmr-ħ],[fill:pf-1S],V
98.0,talb,srs,[sr-s],[with-3S],
99.0,talb,tiħuna,[ti-ħun-a],[FFSP-shope],N
100.0,talb,ħ,[ħ],[at],
101.0,talb,ugadir,[u-gadir],[Agadir],N
102.0,talb,iliħ,[ili-ħ],[be:ao-1S],V
103.0,talb,ħ,[ħ],[in],
104.0,talb,lhna,[l-hna],[the peace],N
105.0,talb,New_Sentence,New_Sentence,New_Sentence,
106.0,talb,ar,[ar],[AR],
107.0,talb,isaqqra,[i-saqqra],[3MS-teach:pf],V
108.0,talb,imħdarn,[i-mħdar-n],[PMFS-student],N
109.0,talb,ar,[ar],[AR],
110.0,talb,jaw,[ja-w],[one:M],
111.0,talb,wass,[w-ass],[SMCS-day],N
112.0,talb,iruħd,[i-ruħ-d],[3MS-come:pf-deic],V
113.0,talb,dars,[dar-s],[dat-3S],
114.0,talb,ja,[ja],[one:M],
115.0,talb,wʕisawi,[w-ʕisawi],[SMCS-the wizard],N
116.0,talb,isslʕb,[i-ss-lʕb],[3MS-caus-play:pf],V
117.0,talb,ilgwmadn,[i-lgwmad-n],[PMFS-snake],N
118.0,talb,ħ,[ħ],[at],
119.0,talb,lmudʕ,[l-mudʕ],[the place],N
120.0,talb,ar,[ar],[until],
121.0,talb,tadggwat,[tadggwat],[the night],N
122.0,talb,jaggug,[i-aggug],[it-be dark],V
123.0,talb,as,[a-s],[dat-3S],
124.0,talb,lħal,[l-ħal],[the time],N
125.0,talb,i!roħ,[i-!roħ],[3MS-go away:pf],V
126.0,talb,timzgida,[ti-mzgid-a],[FFSS-mosque],N
127.0,talb,dar,[dar],[to],
128.0,talb,!ttalb,[!ttalb],[the master],N
129.0,,New_Sentence,New_Sentence,New_Sentence,
130.0,talb,isrs,[i-srs],[3MS-move down:pf],V
131.0,talb,ʃʃwari,[ʃʃwari],[carry cot],N
132.0,talb,d,[d],[and],
133.0,talb,dduzan,[dduzan],[dozen],N
134.0,talb,ns,[n-s],[of-3S],
135.0,talb,iqqn,[i-qqn],[3MS-close:pf],V
136.0,talb,lbhimt,[l-bhimt],[the-beast],N
137.0,talb,iqql,[i-qql],[3MS-wait:pf],V
138.0,talb,ajlliħ,[ajlliħ],[until],
139.0,talb,ddan,[dda-n],[go away:pf-3MP],V
140.0,talb,i!mħdarn,[i-!mħdar-n],[PMFS-student],N
141.0,talb,isskʃm,[i-ss-kʃm],[3MS-caus-come in:pfj],V
142.0,talb,t,[t],[Obj:3MS],
143.0,talb,!ttalb,[!ttalb],[the master],N
144.0,talb,s,[s],[in],
145.0,talb,tħanut,[t-ħanu-t],[FSCS:the shop],N
146.0,,New_Sentence,New_Sentence,New_Sentence,
147.0,talb,awind,[awi-n-d],[bring:ao-3MP-deic],V
148.0,talb,middn,[middn],[people],N
149.0,talb,tartbit,[ta-rtbi-t],[FFSS-meal],N
150.0,talb,i,[i],[for],
151.0,talb,!ttalb,[!ttalb],[the master],N
152.0,,New_Sentence,New_Sentence,New_Sentence,
153.0,talb,!ʕmmrn,[!ʕmmr-n],[fill:pf-3MP],V
154.0,talb,ataj,[ataj],[tea],
155.0,talb,mmnsn,[mmns-n],[diner:pf-3MP],V
156.0,talb,ajlliħ,[ajlliħ],[until],
157.0,talb,kmmln,[kmml-n],[finish:pf-3MP],V
158.0,talb,jini,[i-ini],[3MS-say:ao],V
159.0,talb,jas,[i-a-s],[to-dat-3S],
160.0,talb,!ttalb,[!ttalb],[the master],N
161.0,talb,labudd,[labudd],[necessary],N
162.0,talb,at,[ad],[AD:Comp],
163.0,talb,tsrst,[t-srs-t],[2S-put:ao],V
164.0,talb,lχir,[l-χir],[lot of good],N
165.0,talb,nna,[nna],[RelPro],
166.0,talb,ag,[ad],[AD:Comp],
167.0,talb,gis,[gi-s],[loc:3MS],
168.0,talb,nfrrʒ,[n-frrʒ],[1P-watch:pf],V
169.0,,New_Sentence,New_Sentence,New_Sentence,
170.0,talb,jini,[i-ini],[3MS-say:ao],V
171.0,talb,jas,[i-a-s],[to-dat-3S],
172.0,talb,uʕisawi,[u-ʕisawi],[SMCS-wizard],N
173.0,talb,awa,[awa],[so],
174.0,talb,arkiħ,[arkiħ],[until],
175.0,talb,issfaw,[i-ss-faw],[3MS-caus-become day:pf],V
176.0,talb,lħal,[l-ħal],[the time],N
177.0,,New_Sentence,New_Sentence,New_Sentence,
178.0,talb,jini,[i-ini],[3MS-say:ao],V
179.0,talb,jas,[i-a-s],[to-dat-3S],
180.0,talb,!ttalb,[!ttalb],[the master],N
181.0,talb,uhu,[uhu],[no],
182.0,talb,ʁil,[ʁil],[now],
