Order,Titre_Texte,SOUND,MORPHEMES,M-GLOSS,CATEGORY
1,Hasan,ikkattinn,[ikkattinn],[once upon a time],
2,Hasan,jaw,[jan],[jan:one],
3,Hasan,wrgaz,[u-rgaz],[SMCS-man],N
4,Hasan,labas,[labas],[no harm],
5,Hasan,dars,[dar-s],[at-3S],
6,Hasan,lliʁ,[lliʁ],[RelPro],
7,Hasan,ra,[ra],[ra],
8,Hasan,jas,[i-a-s],[to-dat-3S],
9,Hasan,taru,[t-aru],[2FS-give birth:ao],V
10,Hasan,tmʁart,[t-mʁar-t],[FSCS-woman],N
11,,New_Sentence,New_Sentence,New_Sentence,
12,Hasan,inna,[i-nna],[3MS-say:pf],V
13,Hasan,jas,[i-a-s],[to-dat-3S],
14,Hasan,iʁ,[iʁ],[if],
15,Hasan,i,[i],[to],
16,Hasan,jji,[iji],[dat:1S],
17,Hasan,ifa,[i-fa],[3MS-give:pf],V
18,Hasan,!rbbi,[!rbbi],[God],N
19,Hasan,tazzanin,[t-azzan-in],[PMFS-children],N
20,Hasan,u!llah,[u-!llah],[by God],N
21,Hasan,a,[a-d],[AD:Comp],
22,Hasan,wanna,[wanna],[the one who],N
23,Hasan,gisn,[gi-s-n],[in:3PM],
24,Hasan,iffaʁn,[i-ffaʁ-n],[3MS-go out-n:partic],V
25,Hasan,aʁaras,[a-ʁaras],[MFSS-path],N
26,Hasan,aʁar,[aʁar],[just],
27,Hasan,iʁ,[iʁ],[if],
28,Hasan,as,[a-s],[dat:3MS],
29,Hasan,ʁrsʁ,[ʁrs-ʁ],[immolate:pf-1S],V
30,Hasan,wanna,[wanna],[the one who],N
31,Hasan,gisn,[gi-s-n],[in:3PM],
32,Hasan,ikmmin,[i-kmmi-n],[3MS-smoke-n:partic],V
33,Hasan,lkif,[l-kif],[canabis],N
34,Hasan,wanna,[wanna],[the one who],N
35,Hasan,issan,[i-ssa-n],[3MS-drink-n:partic],V
36,Hasan,ʃʃrab,[ʃʃrab],[wine],N
37,Hasan,d,[d],[and],
38,Hasan,wanna,[wanna],[the one who],N
