"Masc, Sing, Free","Masc, Sing, Bound","Masc, Plural, Free","Masc, Plural, Bound","Fem, Sing, Free","Fem, Sing, Bound","Fem, Plural, Free","Fem, Plural, Bound"
1,2,3,4,5,6,7,8
,,,,lmʕzzt,lmʕzzt,,
,,,,lʕssa,lʕssa,,
!lkdran,!lkdran,,,,,,
lʕum,lʕum,,,,,,
!drikuk,!drikuk,,,,,,
,,,,tajdrt,tajdrt,,
,,,,tagʃrirt,tgʃrirt,tigʃrar,tigʃrar
,,,,taχʷsmart,tχʷsmart,tiχʷsmarin,tχʷsmarin
,,,,tiħssusba,tħssusba,,
,,,,tikttutba,tkttutba,,
,,,,!timʃʃurda,!tmʃʃurda,,
,,,,!timʃʃuwra,!tmʃʃuwra,,
,,,,!timħħudra,!tmħħudra,,
,,,,!timrrujsa,!tmrrujsa,,
,,,,timssufra,tmssufra,,
,,,,tinffulsa,tnffulsa,,
,,,,tinllumda,tnllumda,,
,,,,tinmmuʁra,tnmmuʁra,,
,,,,tinqqurfa,tnqqurfa,,
,,,,tinttulfa,tnttulfa,,
,,,,!tintturfa,!tntturfa,,
,,,,!tinttujfa,!tnttujfa,,
,,,,tinzzumma,tnzzumma,,
,,,,tammajt,tammajt,,
,,,,!tidduggla,!tdduggla,,
,,,,timmussna,tmmussna,,
,,,,!timmuttla,!tmmuttla,,
,,,,timmuzzla,tmmuzzla,,
,,,,tiʃʃurfa,tʃʃurfa,,
,,,,tiʃʃurka,tʃʃurka,,
,,,,!tidduʒra,!tdduʒra,,
,,,,timmuʁra,tmmuʁra,,
,,,,timmuksa,tmmuksa,,
,,,,timmunja,tmmunja,,
,,,,timmuzʁa,tmmuzʁa,,
,,,,tinnubga,tnnubga,,
,,,,tirrugza,trrugza,,
,,,,tirruksa,trruksa,,
,,,,tittulba,tttulba,,
,,,,tiwwurga,twwurga,,
askazzaj,uskazzaj,iskazzajn,tiskazzajin,taskazzajt,tskazzajt,tiskazzajin,tskazzajin
,,,,tagat,tagat,,
,,,,tadawt,tadawt,,
,,,,taguri,tguri,tiguriwin,tiguriwin
mafaman,mafaman,id mafaman,id mafaman,,,,
!agʷrd,!wagʷrd,,,,,,
asksl,usksl,isksal,isksal,,,,
asmkl,wsmkl,ismkal,ismkal,,,,
amʕʃʃr,umʕʃʃr,imʕʃʃrn,imʕʃʃrn,tamʕʃʃrt,tmʕʃʃrt,timʕʃʃrin,tmʕʃʃrin
,,igʒdrn,igʒdrn,,,,
assndu,ussndu,issnda,issnda,tassndut,tssndut,tissnda,tssnda
,,,,,,,
imndi,imndi,,,,,,
!afrziz,!ufrziz,!ifrzizn,!ifrzizn,!tafrzizt,!tfrzizt,!tifrzizin,!tfrzizin
aʒʒgal,waʒʒgal,aʒʒgaln,aʒʒgaln,taʒʒgalt,taʒʒgalt,taʒʒgalin,taʒʒgalin
akntur,ukntur,ikʷntar,ikʷntar,taknturt,tknturt,tikʷntar,tkʷntar
,,,,,,,
asbbab,usbbab,isbbabn,isbbabn,tasbbabt,tsbbabt,tisbbabin,tsbbabin
iswi,iswi,,,,,,
!aʃbar,!uʃbar,!iʃbarn,!iʃbarn,,,,
ussif,wussif,ussifn,wussifn,,,,
uzlim,wuzlim,uzlimn,wuzlimn,tuzlimt,tuzlimt,tuzlimin,tuzlimin
amsijjs,umsijjs,imsijjsn,imsijjsn,tamsijjst,tmsijjst,timsijjsin,tmsijjsin
!aʃbaru,!uʃbaru,!iʃbura,!iʃbura,!taʃbarut,!tʃbarut,!tiʃbura,!tʃbura
aħbari,uħbari,iħbarin,iħbarin,taħbarit,tħbarit,tiħbarin,tħbarin
andaru,undaru,indura,indura,tandarut,tndarut,tindura,tndura
adaj,wadaj,,,,,,
asatm,usatm,isutam,isutam,tasatmt,tsatmt,tisutam,tsutam
imiri,imiri,,,,,,
!amazuz,!umazuz,!imazuzn,!imazuzn,!tamazuzt,!tmazuzt,!timazuzin,!tmazuzin
agʷilal,ugʷilal,igʷilaln,igʷilaln,tagʷilalt,tgʷilalt,tigʷilalin,tgʷilalin
akʷndrris,ukʷndrris,ikʷndrras,ikʷndrras,takʷndrrist,tkʷndrrist,tikʷndrras,tikʷndrras
,,,,lmgzzrt,lmgzzrt,,
astara,ustara,istaran,istaran,,,,
,,,,tinrbit,tnrbit,tinrbay,tnrbay
,,,,tamsaʁt,tmsaʁt,,
amsaʁ,umsaʁ,imsaʁn,imsaʁn,tamsaʁt,tmsaʁt,timsaʁin,tmsaʁin
aslum,uslum,,,,,,
aslaj,uslaj,,,,,,
askkir,uskkir,iskkirn,iskkirn,,,,
!amʕʃur,!umʕʃur,!imʕʃar,!imʕʃar,!tamʕʃurt,!tmʕʃurt,!timʕʃar,!tmʕʃar
,,,,tikrraf,tkrraf,,
assndu,ussndu,,,,,,
ukkim,wukkim,ukkimn,wukkimn,tukkimt,tukkimt,tukkimin,tukkimin
!aħttu,!uħttu,,,,,,
arrag,warrag,arragn,warragn,tarragt,tarragt,tarragin,tarragin
awrag,wawrag,,,,,,
ibiks,ibiks,ibaksn,ibaksn,tibikst,tibikst,tibaksin,tibaksin
addal,waddal,addaln,waddaln,taddalt,taddalt,taddalin,taddalin
,,,,taguni,tguni,,
,,,,,,,
,,,,tasbaqqajt,tsbaqqajt,,
assufʁ,ussufʁ,,,,,,
!akttu,!ukttu,,,,,,
aʃubbu,aʃubbu,,,,,,
,,,,tijjit,tijjit,,
,,,,lkmit,lkmit,,
!amdaj,!umdaj,,,,,,
,,,,tamʁuri,tmʁuri,,
adraw,udraw,idrawn,idrawn,,,,
,,,,tazdajt,tzdajt,,
asmal,usmal,ismaln,ismaln,,,,
!izid,!izid,!izidn,izidn,,,,
aʃtibbʃ,uʃtibbʃ,!iʃtibbiʃn,!iʃtibbiʃn,,,,
104,,,,,,,
attaf,wattaf,,,,,,
asali,usali,,,,,,
asrus,usrus,,,,,,
asdal,usdal,,,,,,
ammussu,ummussu,immussutn,immussutn,,,,
112,,,,,,,
askubbr,uskubbr,iskubbrn,iskubbrn,taskubbrt,tskubbrt,tiskubbrin,tskubbrin
igiwr,igiwr,,,,,,
,,,,tuntla,tuntla,,
,,,,tankra,tankra,,
,,,,tikni,tikni,,
akʷttaj,akʷttaj,,,,,,
aʒgugl,uʒgugl,iʒgugal,iʒgugal,,,,
!asud,!usud,!isudan,!isudan,!tasutt,!tsutt,!tisudin,!tsudin
asram,usram,isramn,isramn,,,,
,,,,!taduri,!tduri,,
,,,,!tamʒikrrt,!tmʒikrrt,,
awwaj,wawwaj,,,,,,
anggas,unggas,,,,,,
azlam,uzlam,,,,,,
!asgruʒʒm,!usgruʒʒm,,,,,,
askkujs,uskkujs,,,,,,
asnufl,usnufl,,,,,,
amχzni,umχzni,imχznaj,imχznaj,tamχznit,tamχznit,timχznaj,tmχznaj
alqqaʕ,ulqqaʕ,ilqqaʕn,ilqqaʕn,,,,
aʕwin,uʕwin,iʕwinn,iʕwinn,taʕwint,tʕwint,tiʕwinin,tʕwinin
awwas,wawwas,,,,,,
igidr,igidr,igidar,igidar,,,,
asmmum,,,,,,,
,,,,tismmji,tismmji,,
issgni,issgni,issgna(j),issgna(j),tissgnit,tssgnit,tissgna(j),tssgna(j)
anzl,unzl,,,,,,
amɦmaz,umɦmaz,,,,,,
anʁuz,unʁuz,,,,,,
asaqqʷs,usaqqʷs,isuqqas,isuqqas,tasaqqʷst,tsaqqʷst,tisuqqas,tsuqqas
afras,ufras,,,,,,
ifr,ifr,ifarran,ifarran,tifrt,tfrt,tifarrin,tfarrin
